,0
194,Power 98 
195,Two Deaths 
196,Stefano Quantestorie 
197,Death in the Garden 
198,"Crude Oasis, The "
199,Hedd Wyn 
200,Regular Guys 
201,Women Robbers 
202,"Convent, The "
203,Stonewall 
204,Phat Beach 
205,Lotto Land 
206,"Story of Xinghua, The "
207,"Day the Sun Turned Cold, The "
208,Flirt 
209,"Big Squeeze, The "
210,Cyclo 
211,Dingo 
212,"Ballad of Narayama, The "
213,Every Other Weekend 
214,Mille bolle blu 
215,Crows and Sparrows 
216,"Hippie Revolution, The "
217,"Maybe, Maybe Not "
218,Manny & Lo 
219,"Wife, The "
220,Small Faces 
221,Death in Brunswick 
222,Lover's Knot 
223,Vive L'Amour 
224,Shadow of Angels 
225,Killer: A Journal of Murder 
226,Girls Town 
227,Bye-Bye 
228,Sweet Nothing 
229,Talk of Angels 
230,Baton Rouge 
231,Liebelei 
232,Venice/Venice 
233,Golden Earrings 
234,"Reluctant Debutante, The "
235,"Scarlet Letter, The "
236,Lady of Burlesque 
237,Angel on My Shoulder 
238,They Made Me a Criminal 
239,Angel and the Badman 
240,"Walk in the Sun, A "
241,"Outlaw, The "
242,"Last Time I Saw Paris, The "
243,Algiers 
244,Something to Sing About 
245,Moonlight Murder 
246,"Yes, Madam "
247,Madagascar Skin 
248,Small Wonders 
249,Brother of Sleep 
250,"Rich Man's Wife, The "
251,Caught 
252,Curdled 
253,"Associate, The "
254,Ed's Next Move 
255,So Dear to My Heart 
256,Unhook the Stars 
257,Synthetic Pleasures 
258,Surviving Picasso 
259,Love Is All There Is 
260,"Proprietor, The "
261,Bitter Sugar 
262,"Sunchaser, The "
263,Johns 
264,Five Angles on Murder 
265,"Damsel in Distress, A "
266,"Murder, My Sweet "
267,Macao 
268,For the Moment 
269,"Sexual Life of the Belgians, The "
270,Madame Butterfly 
271,"Search for One-eye Jimmy, The "
272,American Strays 
273,"Leopard Son, The "
274,Charm's Incidents 
275,Bird of Prey 
276,Sleepover 
277,North Star 
278,Plutonium Circus 
279,Talking About Sex 
280,Johnny 100 Pesos 
281,Dadetown 
282,Everything Relative 
283,Last Call 
284,Get Over It 
285,Three Lives and Only One Death 
286,Snowriders 
287,Curtis's Charm 
288,JLG/JLG 
289,He Walked by Night 
290,Raw Deal 
291,T-Men 
292,"Invitation, The "
293,"Symphonie pastorale, La "
294,Here Comes Cookie 
295,Love in Bloom 
296,Six of a Kind 
297,2 ou 3 choses que je sais d'elle 
298,"Bloody Child, The "
299,Farmer & Chase 
300,Bad Moon 
301,American Dream 
302,Dead Tired 
303,"Shooter, The "
304,I Shot a Man in Vegas 
305,Parallel Sons 
306,Santa with Muscles 
307,Mad Dog Time 
308,Breathing Room 
309,Paris Was a Woman 
310,Anna 
311,I'm Not Rappaport 
312,Kids of Survival 
313,Identification of a Woman 
314,Zero Kelvin 
315,"Forbidden Christ, The "
316,I Can't Sleep 
317,Adrenalin: Fear the Rush 
318,"Substance of Fire, The "
319,Terror in a Texas Town 
320,Somebody is Waiting 
321,Night Falls on Manhattan 
322,"Evening Star, The "
323,Message to Love: The Isle of Wight Festival 
324,Grateful Dead 
325,Inside 
326,"Machine, The "
327,"Stranger, The "
328,Falling in Love Again 
329,"Tickle in the Heart, A "
330,Guantanamera 
331,Fire on the Mountain 
332,Prisoner of the Mountains 
333,Hotel de Love 
334,Unforgotten: Twenty-Five Years After Willowbrook 
335,That Old Feeling 
336,Salut cousin! 
337,Rhyme & Reason 
338,Boys Life 2 
339,City of Industry 
340,"Van, The "
341,"Quiet Room, The "
342,Keys to Tulsa 
343,Hollow Reed 
344,Traveller 
345,All Over Me 
346,"Brother's Kiss, A "
347,"Chef in Love, A "
348,Commandments 
349,Ripe 
350,"Truth or Consequences, N.M. "
351,"Turning, The "
352,Warriors of Virtue 
353,Intimate Relations 
354,Losing Chase 
355,Sprung 
356,"Bonheur, Le "
357,Love! Valour! Compassion! 
358,"Second Jungle Book: Mowgli & Baloo, The "
359,Twin Town 
360,"Designated Mourner, The "
361,"War at Home, The "
362,Late Bloomers 
363,"To Have, or Not "
364,Squeeze 
365,Sudden Manhattan 
366,"Next Step, The "
367,Wedding Bell Blues 
368,Dream With the Fishes 
369,"Last Time I Committed Suicide, The "
370,MURDER and murder 
371,Tetsuo II: Body Hammer 
372,Gabbeh 
373,Mondo 
374,"Innocent Sleep, The "
375,For Ever Mozart 
376,Free Willy 3: The Rescue 
377,Kicked in the Head 
378,"Locusts, The "
379,"Lay of the Land, The "
380,"Smile Like Yours, A "
381,Stag 
382,How to Be a Player 
383,Telling Lies in America 
384,Wonderland 
385,Nenette and Boni 
386,Hugo Pool 
387,One Night Stand 
388,"Tango Lesson, The "
389,Alien Escape 
390,Bang 
391,"Boys, Les "
392,Guy 
393,Tar 
394,Ill Gotten Gains 
395,Legal Deceit 
396,Man of Her Dreams 
397,Never Met Picasso 
398,Office Killer 
399,"Other Voices, Other Rooms "
400,Time Tracers 
401,Twisted 
402,Full Speed 
403,"Education of Little Tree, The "
404,"Winter Guest, The "
405,Vermin 
406,Men of Means 
407,Caught Up 
408,Arguing the World 
409,Firestorm 
410,"Leading Man, The "
411,Star Kid 
412,"Prophecy II, The "
413,Tainted 
414,"Letter From Death Row, A "
415,Mother and Son 
416,Tokyo Fist 
417,Mass Transit 
418,Ride 
419,Ayn Rand: A Sense of Life 
420,"Further Gesture, A "
421,Little City 
422,"Paralyzing Fear: The Story of Polio in America, A "
423,Men with Guns 
424,"Sadness of Sex, The "
425,"Callejón de los milagros, El "
426,In God's Hands 
427,"Niagara, Niagara "
428,"Price Above Rubies, A "
429,Eden 
430,No Looking Back 
431,Storefront Hitchcock 
432,"Proposition, The "
433,Meet the Deedles 
434,Follow the Bitch 
435,Heaven's Burning 
436,Illtown 
437,Slappy and the Stinkers 
438,Nil By Mouth 
439,Prince Valiant 
440,"I Love You, Don't Touch Me! "
441,Leather Jacket Love Story 
442,Love Walked In 
443,"Alan Smithee Film: Burn Hollywood Burn, An "
444,Kissing a Fool 
445,Junk Mail 
446,Sour Grapes 
447,Wild Man Blues 
448,Black Dog 
449,"Friend of the Deceased, A "
450,Go Now 
451,Still Breathing 
452,Little Men 
453,Woo 
454,"Hanging Garden, The "
455,Lawn Dogs 
456,I Got the Hook Up 
457,Little Boy Blue 
458,Cousin Bette 
459,"Land Girls, The "
460,Passion in the Desert 
461,Dear Jesse 
462,Hav Plenty 
463,Marie from the Bay of Angels 
464,Resurrection Man 
465,Voyage to the Beginning of the World 
466,Wings 
467,Cavalcade 
468,How Green Was My Valley 
469,"Greatest Show on Earth, The "
470,Hello Mary Lou: Prom Night II 
471,Prom Night III: The Last Kiss 
472,Billy's Hollywood Screen Kiss 
473,East Palace West Palace 
474,"Million Dollar Duck, The "
475,Cheetah 
476,"Far Off Place, A "
477,"Gnome-Mobile, The "
478,"Happiest Millionaire, The "
479,Full Tilt Boogie 
480,"Governess, The "
481,Seventh Heaven 
482,Kidnapped 
483,One Magic Christmas 
484,Squanto: A Warrior's Tale 
485,Graveyard Shift 
486,"First Love, Last Rites "
487,Safe Men 
488,"Saltmen of Tibet, The "
489,"Chambermaid on the Titanic, The "
490,"Henry: Portrait of a Serial Killer, Part 2 "
491,Dance with Me 
492,"Navigator: A Mediaeval Odyssey, The "
493,I Married A Strange Person! 
494,"Merry War, A "
495,See the Sea 
496,Firelight 
497,Modulations 
498,Phoenix 
499,Under Capricorn 
500,Young and Innocent 
501,Waltzes from Vienna 
502,Number Seventeen 
503,Rich and Strange 
504,"Skin Game, The "
505,Elstree Calling 
506,Juno and the Paycock 
507,Murder! 
508,"Manxman, The "
509,Blackmail 
510,Champagne 
511,"Farmer's Wife, The "
512,Downhill 
513,Easy Virtue 
514,"Pleasure Garden, The "
515,Always Tell Your Wife 
516,Digging to China 
517,Let's Talk About Sex 
518,One Man's Hero 
519,Without Limits 
520,Seven Beauties 
521,"Grandview, U.S.A. "
522,Stars and Bars 
523,Men Don't Leave 
524,"Cabinet of Dr. Ramirez, The "
525,Choices 
526,"Master, The "
527,"Century of Cinema, A "
528,Lilian's Story 
529,"Soldier's Daughter Never Cries, A "
530,Somewhere in the City 
531,Bandit Queen 
532,If.... 
533,Shadrach 
534,"Battle of the Sexes, The "
535,Slam 
536,Detroit 9000 
537,"Inheritors, The "
538,"Alarmist, The "
539,Reach the Rock 
540,Shattered Image 
541,Dancing at Lughnasa 
542,"Naked Man, The "
543,Desert Bloom 
544,Jerry Springer: Ringmaster 
545,Mass Appeal 
546,"Theory of Flight, The "
547,Down in the Delta 
548,Wilde 
549,Outside Ozona 
550,Another Day in Paradise 
551,"Hi-Lo Country, The "
552,24 7: Twenty Four Seven 
553,"Garbage Pail Kids Movie, The "
554,"Gate II: Trespassers, The "
555,Leatherface: Texas Chainsaw Massacre III 
556,Trick or Treat 
557,Belizaire the Cajun 
558,Gloria 
559,Dry Cleaning 
560,Tinseltown 
561,"24 Hour Woman, The "
562,"Blood, Guts, Bullets and Octane "
563,Spanish Fly 
564,God Said 'Ha!' 
565,Breakfast of Champions 
566,"Breaks, The "
567,Eight Days a Week 
568,Just the Ticket 
569,House on Haunted Hill 
570,"Concorde: Airport '79, The "
571,Six Ways to Sunday 
572,Relax... It's Just Sex 
573,Harvest 
574,Telling You 
575,Bandits 
576,"Empty Mirror, The "
577,Among Giants 
578,"Love, etc. "
579,"Sticky Fingers of Time, The "
580,Foolish 
581,Cloudland 
582,Jeanne and the Perfect Guy 
583,"Joyriders, The "
584,Photographer 
585,"Little Bit of Soul, A "
586,Mighty Peking Man 
587,Nô 
588,Let it Come Down: The Life of Paul Bowles 
589,Heaven 
590,Three Seasons 
591,Mascara 
592,Xiu Xiu: The Sent-Down Girl 
593,Edge of Seventeen 
594,Endurance 
595,Frogs for Snakes 
596,"Mummy's Curse, The "
597,"Mummy's Ghost, The "
598,"Mummy's Hand, The "
599,"Mummy's Tomb, The "
600,House of Dracula 
601,House of Frankenstein 
602,Son of Frankenstein 
603,"Ghost of Frankenstein, The "
604,Son of Dracula 
605,"Flying Saucer, The "
606,It Came from Beneath the Sea 
607,It Conquered the World 
608,"Mole People, The "
609,Eternity and a Day 
610,Twice Upon a Yesterday 
611,Desert Blue 
612,Finding North 
613,Floating 
614,Promise Her Anything 
615,"Red Dwarf, The "
616,Get Bruce 
617,Broken Vessels 
618,"Lovers on the Bridge, The "
619,"Late August, Early September "
620,My Life So Far 
621,"Wood, The "
622,"Velocity of Gary, The "
623,Trick 
624,"Bedroom Window, The "
625,Light of Day 
626,Wanted: Dead or Alive 
627,Plenty 
628,"Gambler, The "
629,Illuminata 
630,Stiff Upper Lips 
631,Alice and Martin 
632,"Marcello Mastroianni: I Remember Yes, I Remember "
633,Cobra 
634,Never Talk to Strangers 
635,"Raven, The "
636,"Tingler, The "
637,"Tomb of Ligeia, The "
638,Tales of Terror 
639,Love Stinks 
640,With Friends Like These... 
641,"Bat, The "
642,Male and Female 
643,"Spiders Part 1: The Golden Lake, The "
644,Rosie 
645,Cabaret Balkan 
646,"Dog of Flanders, A "
647,"Lost Son, The "
648,Lucie Aubrac 
649,"Very Thought of You, The "
650,I Woke Up Early the Day I Died 
651,Best Laid Plans 
652,Whiteboyz 
653,Queens Logic 
654,Public Access 
655,"Alice, Sweet Alice "
656,Don't Look in the Basement! 
657,Nightmares 
658,Splendor 
659,"Separation, The "
660,Lulu on the Bridge 
661,Napoleon and Samantha 
662,Rain 
663,"Five Wives, Three Secretaries and Me "
664,"Ennui, L' "
665,"Grandfather, The "
666,"Mating Habits of the Earthbound Human, The "
667,Molly 
668,Children of Paradise 
669,Handle with Care 
670,"Fire Within, The "
671,"Amor brujo, El "
672,Man Facing Southeast 
673,Mike's Murder 
674,Penitentiary 
675,Penitentiary II 
676,Sparrows 
677,Naturally Native 
678,Beefcake 
679,Joe the King 
680,Men Cry Bullets 
681,"Brother, Can You Spare a Dime? "
682,"City, The "
683,Dreaming of Joseph Lees 
684,Man of the Century 
685,"Suburbans, The "
686,Portraits Chinois 
687,Battling Butler 
688,My Best Girl 
689,Rough Night in Jericho 
690,Slaughterhouse 
691,Experience Preferred... But Not Essential 
692,How I Won the War 
693,Light It Up 
694,"Ape, The "
695,British Intelligence 
696,Nothing to Lose 
697,"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The "
698,"Goodbye, 20th Century "
699,Home Page 
700,"Living Dead Girl, The "
701,47 Samurai 
702,Country 
703,Miss Julie 
704,Tumbleweeds 
705,Bay of Blood 
706,"Hitch-Hiker, The "
707,Santa Fe Trail 
708,Lauderdale 
709,Agnes Browne 
710,"End of the Affair, The "
711,"Map of the World, A "
712,Broadway Damage 
713,Go West 
714,"James Dean Story, The "
715,"Sea Wolves, The "
716,Tarzan the Fearless 
717,Three Ages 
718,"Glass Bottom Boat, The "
719,Diamonds 
720,"Bat Whispers, The "
721,Blood on the Sun 
722,"Alley Cats, The "
723,Brenda Starr 
724,Hi-Yo Silver 
725,Ulysses 
726,Play it to the Bone 
727,Montana 
728,Trans 
729,"Life and Times of Hank Greenberg, The "
730,"Quarry, The "
731,Creature 
732,Tess of the Storm Country 
733,Pal Joey 
734,Even Dwarfs Started Small 
735,Black Sunday 
736,"Snows of Kilimanjaro, The "
737,"Loves of Carmen, The "
738,Born to Win 
739,Voyage of the Damned 
740,Vampyros Lesbos 
741,Poison 
742,Night Tide 
743,Carmen 
744,Hellhounds on My Trail 
745,"Not Love, Just Frenzy "
746,Wirey Spindell 
747,Another Man's Poison 
748,"Saphead, The "
749,Seven Chances 
750,Smashing Time 
751,Train Ride to Hollywood 
752,Zachariah 
753,Kestrel's Eye 
754,Isn't She Great? 
755,Santitos 
756,I Am Cuba 
757,Beloved/Friend 
758,Gendernauts 
759,Knockout 
760,Different for Girls 
761,Cotton Mary 
762,Soft Toilet Seats 
763,Trois 
764,"Big Combo, The "
765,Conceiving Ada 
766,With Byrd at the South Pole 
767,Blue Collar 
768,Bluebeard 
769,"Dog's Life, A "
770,"Man from Laramie, The "
771,"McCullochs, The "
772,"Big Trees, The "
773,Deterrence 
774,Judy Berlin 
775,Mifune's Last Song 
776,"Waiting Game, The "
777,3 Strikes 
778,"Legend of Lobo, The "
779,"Killing of Sister George, The "
780,Jail Bait 
781,It Happened Here 
782,I'll Never Forget What's'isname 
783,Cross of Iron 
784,Bride of the Monster 
785,And God Created Woman 
786,Color Me Blood Red 
787,"Night Visitor, The "
788,"Perils of Pauline, The "
789,Two Thousand Maniacs! 
790,Brown's Requiem 
791,Condo Painting 
792,"Devil's Brigade, The "
793,Any Number Can Win 
794,Bound for Glory 
795,Buck and the Preacher 
796,Destination Moon 
797,"Fantastic Night, The "
798,Hangmen Also Die 
799,Railroaded! 
800,Slaves to the Underground 
801,Song of Freedom 
802,Big Fella 
803,Sesame Street Presents Follow That Bird 
804,"Carriers Are Waiting, The "
805,Babymother 
806,Impact 
807,Something for Everyone 
808,Coogan's Bluff 
809,Cool as Ice 
810,Born American 
811,Waking the Dead 
812,Blood and Sand 
813,Hillbillys in a Haunted House 
814,Last Resort 
815,Solar Crisis 
816,That's Life! 
817,Horror Hotel 
818,Autopsy 
819,Devil Girl From Mars 
820,El Dorado 
821,"Hideous Sun Demon, The "
822,Horror Express 
823,My Chauffeur 
824,Torso 
825,Roadside Prophets 
826,Black and White 
827,"Bells, The "
828,"End of Violence, The "
829,How to Stuff a Wild Bikini 
830,Sacco and Vanzetti 
831,Taffin 
832,Smoking/No Smoking 
833,"Actor's Revenge, An "
834,Passion of Mind 
835,Third World Cop 
836,Coming Apart 
837,Prick Up Your Ears 
838,"Law, The "
839,Empire of Passion 
840,Stacy's Knights 
841,Committed 
842,"Last September, The "
843,Defying Gravity 
844,I Dreamed of Africa 
845,"Jails, Hospitals & Hip-Hop "
846,Black Tights 
847,"Great Locomotive Chase, The "
848,"King of Marvin Gardens, The "
849,Whom the Gods Wish to Destroy 
850,Held Up 
851,Blue Hawaii 
852,"Castaway Cowboy, The "
853,G. I. Blues 
854,"Gay Deceivers, The "
855,King Creole 
856,One Little Indian 
857,Roustabout 
858,Saludos Amigos 
859,"Slipper and the Rose, The "
860,Things Change 
861,"Myth of Fingerprints, The "
862,Possession 
863,"House of Exorcism, The "
864,It's in the Water 
865,Those Who Love Me Can Take the Train 
866,In Old California 
867,Dark Command 
868,Cleo from 5 to 7 
869,Running Free 
870,Anguish 
871,"Blood Spattered Bride, The "
872,Lured 
873,Pandora and the Flying Dutchman 
874,Quatermass 2 
875,Curse of the Puppet Master 
876,Retro Puppet Master 
877,Story of G.I. Joe 
878,American Pimp 
879,Trixie 
880,American Virgin 
881,Prince of the City 
882,"Match, The "
883,Time Regained 
884,Boricua's Bond 
885,Asylum 
886,Fun and Fancy Free 
887,Daughter of Dr. Jeckyll 
888,Hatchet for the Honeymoon 
889,Make Mine Music 
890,Melody Time 
891,Nekromantik 
892,On Our Merry Way 
893,Project Moon Base 
894,Rocketship X-M 
895,Shaft in Africa 
896,Shaft's Big Score! 
897,"Wisdom of Crocodiles, The "
898,Criminal Lovers 
899,Greaser's Palace 
900,H.O.T.S. 
901,Knightriders 
902,"Other Side of Sunday, The "
903,Pot O' Gold 
904,Thomas and the Magic Railroad 
905,Better Living 
906,Mad About Mambo 
907,Silent Fall 
908,Whatever Happened to Aunt Alice? 
909,"Tic Code, The "
910,Aimée & Jaguar 
911,"Autumn Heart, The "
912,"Opportunists, The "
913,Sunset Strip 
914,All the Rage 
915,"Couch in New York, A "
916,"Devil Rides Out, The "
917,Jerry and Tom 
918,X: The Unknown 
919,"Ballad of Ramblin' Jack, The "
920,Phish: Bittersweet Motel 
921,Catfish in Black Bean Sauce 
922,Love & Sex 
923,Steal This Movie! 
924,Went to Coney Island on a Mission From God... Be Back by Five 
925,Back Stage 
926,Turn It Up 
927,Anatomy 
928,Goya in Bordeaux 
929,Urbania 
930,Uninvited Guest 
931,"Specials, The "
932,"Prince of Central Park, The "
933,Barenaked in America 
934,Beach Party 
935,Return of the Fly 
936,Pajama Party 
937,"Giant Gila Monster, The "
938,Kronos 
939,Phantom of the Opera 
940,Bootmen 
941,Just Looking 
942,Lost Souls 
943,Haunted 
944,Ghoulies 
945,"Beyond, The "
946,Lucky Numbers 
947,Stardom 
948,What's Cooking? 
949,Boys Life 3 
950,Code of Silence 
951,Secrets of the Heart 
952,Mr. Accident 
953,Nowhere to Hide 
954,Songcatcher 
955,Kill Me Again 
956,Breaker! Breaker! 
957,Breakheart Pass 
958,Imaginary Crimes 
959,Rancho Deluxe 
960,"St. Francisville Experiment, The "
961,Kids World 
962,"Personals, The "
963,"Amati Girls, The "
964,Love Field 
965,Amy 
966,Dog Run 
967,Faithless 
968,"Invisible Circus, The "
969,"Monkey's Tale, A "
970,Two Ninas 
971,Big Shots 
972,"Big Town, The "
973,Critical Condition 
974,Cry Freedom 
975,"Curse, The "
976,Dead of Winter 
977,"Dead, The "
978,Death Before Dishonor 
979,Disorderlies 
980,Dogs in Space 
981,Extreme Prejudice 
982,Family Viewing 
983,Five Corners 
984,Julia and Julia 
985,"Good Morning, Babylon "
986,Hot Pursuit 
987,Housekeeping 
988,Hunk 
989,Ironweed 
990,Million Dollar Mystery 
991,"Month in the Country, A "
992,Morgan Stewart's Coming Home 
993,North Shore 
994,Fever 
995,Signs & Wonders 
996,"Taste of Others, The "
997,See Spot Run 
998,Carman: The Champion 
999,Me You Them 
1000,Blow Dry 
1001,Hit and Runway 
1002,Simon Magus 
1003,When Brendan Met Trudy 
1004,Madadayo 
1005,"Mirror Crack'd, The "
1006,Pixote 
1007,Tuff Turf 
1008,"Unbelievable Truth, The "
1009,Elvis: That's the Way It Is 
1010,"Fortune Cookie, The "
1011,Hans Christian Andersen 
1012,Demetrius and the Gladiators 
1013,"Die, Monster, Die! "
1014,Death Warrant 
1015,"End, The "
1016,"Mighty Quinn, The "
1017,Unmade Beds 
1018,Rated X 
1019,Deepstar Six 
1020,Longtime Companion 
1021,C.H.U.D. 
1022,"Brothers, The "
1023,Too Much Sleep 
1024,"Day I Became a Woman, The "
1025,Shadow Magic 
1026,Kingdom Come 
1027,"Body, The "
1028,Lakeboat 
1029,"Girl, The "
1030,"Low Down, The "
1031,Lilies 
1032,"Forsaken, The "
1033,Rat 
1034,Eureka 
1035,Tuvalu 
1036,Cleopatra 
1037,"Lost World, The "
1038,True Believer 
1039,Candy 
1040,Fellini's Roma 
1041,"Home of Our Own, A "
1042,Paris When It Sizzles 
1043,Pola X 
1044,Backtrack 
1045,Calle 54 
1046,"King Is Alive, The "
1047,Sordid Lives 
1048,Petits Freres 
1049,Bloody Angels 
1050,Our Song 
1051,Gabriela 
1052,Postcards From the Edge 
1053,Apache 
1054,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson "
1055,"Kentuckian, The "
1056,"Return of the Magnificent Seven, The "
1057,"Scarlet Empress, The "
1058,Semi-Tough 
1059,Suspect 
1060,Midnight Madness 
1061,Nightwatch 
1062,What's the Worst That Could Happen? 
1063,Bride of the Wind 
1064,Whatever Happened to Harold Smith? 
1065,Shag 
1066,Macabre 
1067,There's No Business Like Show Business 
1068,"Boys Next Door, The "
1069,Too Late the Hero 
1070,"Trio, The "
1071,Pavilion of Women 
1072,"Adventures of Felix, The "
1073,Down From the Mountain 
1074,Russian Doll 
1075,"South of Heaven, West of Hell "
1076,Wolves 
1077,Pandaemonium 
1078,"Vertical Ray of the Sun, The "
1079,Speed Zone! 
1080,Donovan's Brain 
1081,Donovan's Reef 
1082,"Last Laugh, The "
1083,Sons of Katie Elder 
1084,Village of the Giants 
1085,X: The Man with the X-Ray Eyes 
1086,Cheech & Chong's Nice Dreams 
1087,"Day the Earth Caught Fire, The "
1088,"House by the Cemetery, The "
1089,Things Are Tough All Over 
1090,"Blackout, The "
1091,"Entertainer, The "
1092,Howling III: The Marsupials 
1093,Popcorn 
1094,Rembrandt 
1095,Colonel Redl 
1096,Thrill Ride: The Science of Fun 
1097,Haunted Castle 
1098,All Access 
1099,Encounter in the Third Dimension 
1100,Siegfried & Roy: The Magic Box 
1101,Apartment Zero 
1102,Appointment with Death 
1103,Bad Dreams 
1104,Bird 
1105,"Boost, The "
1106,Casual Sex? 
1107,Clean and Sober 
1108,Criminal Law 
1109,Critters 2: The Main Course 
1110,Critters 3 
1111,"Elvira, Mistress of the Dark "
1112,Everybody's All-American 
1113,Fresh Horses 
1114,Heartbreak Hotel 
1115,Hot to Trot 
1116,"House on Carroll Street, The "
1117,Howling IV: The Original Nightmare 
1118,Imagine: John Lennon 
1119,Moving 
1120,Off Limits 
1121,Permanent Record 
1122,Return of the Living Dead Part II 
1123,Rocket Gibraltar 
1124,Salome's Last Dance 
1125,Salsa 
1126,Satisfaction 
1127,Shakedown 
1128,Shoot to Kill 
1129,Stormy Monday 
1130,Sunset 
1131,Sweet Hearts Dance 
1132,Switching Channels 
1133,"Telephone, The "
1134,To Kill a Priest 
1135,Torch Song Trilogy 
1136,Track 29 
1137,Vice Versa 
1138,Watchers 
1139,Waxwork 
1140,American Ninja 2: The Confrontation 
1141,American Ninja 3: Blood Hunt 
1142,Best of the Best 2 
1143,"Big Picture, The "
1144,Breaking In 
1145,C.H.U.D. II - Bud the Chud 
1146,Cookie 
1147,Dead Bang 
1148,"Dry White Season, A "
